titulo,importe_ayuda,presupuesto_proyecto,tipo_ayuda,anio_ayuda
CACHORROS Y EL CODIGO...,"13.980,54€","332.722,85€",amortización,2015
DRACULA,"19.793,57€","1.248.818,03€",amortización,2015
ASTERIX Y OBELIX...,"25.487,71€","2.100.000,00€",amortización,2015
BYPASS,"26.842,74€","1.653.306,73€",amortización,2015
UNA PISTOLA EN CADA MANO,"37.342,32€","2.418.735,62€",amortización,2015
INSENSIBLES,"39.252,43€","2.563.289,31€",amortización,2015
FILL DE CAIN,"46.653,83€","1.903.213,67€",amortización,2015
VILAMOR,"49.025,76€","1.551.314,50€",amortización,2015
SECRETO DE LOS 24 ESCALONES,"66.047,61€","1.692.503,56€",amortización,2015
"BANDA PICASSO, LA","68.875,45€","2.187.811,07€",amortización,2015
FENIX 11-23,"71.186,26€","2.001.409,65€",amortización,2015
ATRACO!,"72.953,51€","3.926.143,04€",amortización,2015
7 DIAS EN LA HABANA,"79.131,28€","1.519.847,13€",amortización,2015
HOLMES & WATSON. MADRID DAYS,"81.085,41€","2.278.936,48€",amortización,2015
JUAN DE LOS MUERTOS,"81.715,96€","2.000.988,60€",amortización,2015
"NIÑOS SALVAJES, LOS","83.798,89€","1.888.546,71€",amortización,2015
"ARTISTA Y LA MODELO, EL","93.669,70€","2.075.595,85€",amortización,2015
ANIMAL'S,"101.822,47€","2.636.701,13€",amortización,2015
TODO ES SILENCIO,"108.774,03€","4.721.989,83€",amortización,2015
ELEFANTE BLANCO,"109.591,45€","2.109.183,55€",amortización,2015
INVASOR,"114.361,67€","4.001.803,30€",amortización,2015
DICTADO,"115.278,12€","3.061.246,35€",amortización,2015
VOLVER A NACER,"118.947,18€","2.106.244,11€",amortización,2015
"MONTAÑA RUSA, LA","131.074,81€","3.219.752,56€",amortización,2015
MIEL DE NARANJAS,"131.626,45€","3.068.116,48€",amortización,2015
LO IMPOSIBLE,"135.536,63€","30.324.580,13€",amortización,2015
LOBOS DE ARGA,"138.586,51€","3.657.989,88€",amortización,2015
"MONJE, EL","143.763,48€","3.769.309,12€",amortización,2015
"ENIGMA DEL CUERVO, EL","143.880,40€","3.047.471,16€",amortización,2015
MAMA,"154.907,28€","2.743.003,68€",amortización,2015
[REC] 3 GENESIS,"156.285,03€","4.164.749,45€",amortización,2015
GRUPO 7,"159.120,00€","3.046.354,38€",amortización,2015
THE PELAYOS,"167.788,50€","4.668.841,12€",amortización,2015
FIN,"168.189,48€","3.879.347,62€",amortización,2015
BLANCANIEVES,"168.866,47€","4.107.300,09€",amortización,2015
"CUERPO, EL","169.420,78€","6.503.702,22€",amortización,2015
"AVENTURAS DE TADEO JONES, LAS","169.420,79€","9.576.503,83€",amortización,2015
LUCES ROJAS,"169.420,79€","6.600.841,88€",amortización,2015
TENGO GANAS DE TI,"169.420,79€","6.263.477,41€",amortización,2015
