anio,espectadores_esp_millones
2025,79.5
2024,85.6
2023,82.4
2022,77.5
2021,39.7
2020,39.4
2019,92.2
2018,103.1
2017,103
2016,111.2
2015,111.7
2014,131.8
2013,70.2
2012,119.9
2011,99.1
2010,80.3
2009,104.4
2008,81.6
2007,86.7
2006,98.4
2005,106.2
2004,92.9
2003,100.9
