expediente_icaa
35324
118506
21583
30172
12148
39704
14807
74735
123694
31182
82216
15770
133305
36953
112335
34805
45626
10000
115563
41301
106293
80873
80874
80875
8901
94458
44477
94456
94302
94459
94303
50608
94457
94304
48506
94305
94460
94306
17640
34829
125293
49622
118410
26884
27252
30902
116235
26138
118147
59116
28730
23904
21097
66119
93301
89578
88620
102696
101668
31791
32209
128924
12655
117394
35584
42589
42573
42582
42583
42584
42585
42586
42587
42588
42590
42591
42574
42575
42576
42577
42578
42579
42580
42581
75425
80102
80103
80104
80105
111613
111614
111615
111607
111608
111609
111610
111611
111612
67728
71454
71455
67732
67727
71457
67731
67729
67730
68066
71452
71456
71453
79890
75426
73706
73707
73708
73709
73710
73711
75427
52713
77513
52714
77515
52715
77512
52716
77514
52959
77511
52960
52961
52962
52963
52964
52965
52966
52967
52968
52969
52970
52971
52972
52973
52974
52919
52920
52921
52947
52948
52949
52950
52951
52952
52953
52954
52955
52956
52957
52958
52922
52923
52924
52925
52926
52927
78304
114398
16208
14749
42510
92480
12368
29479
45251
113646
113647
121522
121708
31208
38876
40341
40890
31407
11539
6936
35374
71335
71336
70410
71324
71325
71326
71327
71328
71329
70415
71330
70420
70421
71332
70413
70409
71331
70419
70416
70417
71334
70411
70418
70412
70414
71333
34209
54339
12707
68180
111770
88072
111779
83045
34376
34370
34369
34371
34374
34372
22197
22196
125266
86765
36762
35375
136030
32316
10221
112758
113267
117980
105186
26671
119601
72159
78190
27391
14514
31172
17419
116674
125843
98242
12986
106914
52993
109821
82217
28463
94467
44722
39740
120846
125724
110838
109775
35818
22983
24511
8527
75284
115310
60366
100659
100668
100737
100738
100739
100740
100741
100742
100743
100744
100745
100660
100746
100747
100748
100749
100750
100751
100752
100753
100754
100755
100661
100756
100662
100663
100664
100665
100666
100667
101550
101551
101552
101553
101554
101555
101556
101557
101558
101559
101560
101561
101562
101563
101564
101565
101566
101567
101568
101569
101570
101571
101572
101573
101574
101575
101576
101577
101578
101579
101580
101581
78989
91917
91918
91919
91920
91921
91922
91923
91924
91925
91926
91927
91928
91929
91930
91931
91932
91933
91934
91935
91936
91937
91939
91940
91941
91942
91943
91944
91945
91946
91947
91938
91948
95962
96185
96186
95961
96181
96182
96183
96184
133976
133977
22213
92058
118026
17350
24360
7438
36719
31490
30242
34622
46495
74236
91567
91569
91570
91568
91571
56891
36365
133363
42686
60540
41516
40340
108705
42711
41374
98473
43120
24433
117302
37538
23255
21512
44695
133603
33775
123998
8920
119141
