"titulo_normalizado","fecha_estreno"
"camino sin limites saen rdeoa laiz daj seingeubieando el criterio de semanas cinematograficas","2019-09-06"
"campanadas a medianoche","2025-05-17"
"campeonex se realiza siguiendo el criterio de semanas cinematograficas","2023-08-18"
"canciones de horror","2021-10-16"
"cantabrico","2017-03-31"
"cant dels ocells","2008-12-19"
"cant dels ocells el se realiza siguiendo el criterio de semanas cinematograficas","2008-12-19"
"canto cosmico nino de elche margenes","2022-02-04"
"cantuna","2023-06-22"
"caparros las botas del entrenador maravillas","2024-04-26"
"capitolio contra capitolio","2025-07-04"
"capturar las 1001 novias","2017-03-16"
"carbon","2023-12-29"
"carga","2024-07-25"
"carga el diablo lo","2025-04-25"
"carmen muerte por un sueno","2022-03-24"
"carpetas azules","2022-11-08"
"carrasca","2018-12-07"
"cartas de akyab","2021-10-26"
"cartas perdidas las la carcel y el exilio de las mujeres repub","2022-05-13"
"casa bloc rehabilitacion de una idea","2024-04-18"
"casa en llamas","2024-06-28"
"casals la fuerza de un silencio","2018-05-18"
"cash n flow el evento","2017-07-01"
"casi 40 avalon","2018-06-29"
"casilda el eco de otros pasos","2023-02-02"
"castillo de argueso","2025-01-18"
"cataluna ambigua sheridan s","2025-02-27"
"caza la boccacio","2023-03-10"
"cebo","2025-10-20"
"cecilia bartolome tan lejos tan cerca","2025-05-11"
"celedonio y yo somos asi","2024-10-17"
"cenerentola la teatro real","2023-11-23"
"cercle en l aigua","2020-11-06"
"cero 5 a","2023-03-24"
"cerrar los ojos avalon","2023-09-29"
"chain the","2019-05-31"
"chavela","2017-06-16"
"chemsex un viaje al interior","2025-11-14"
"chhaupadi","2025-01-30"
"chica de la cancion","2017-12-12"
"chichi y yo","2024-10-11"
"cholitas arena","2020-01-24"
"cielo de los animales el maravillas","2025-05-09"
"cielo no puede esperar el european","2023-02-24"
"cielo tan turbio","2022-03-25"
"cienaga","2024-06-25"
"cifra negra","2018-04-10"
"cima","2022-03-25"
"cinebasura la pelicula","2017-06-02"
"cine registro vivo de nuestra memoria","2022-08-12"
"cine registro vivo de nuestra memoria se realiza siguiendo el criterio de semanas cinematograficas","2022-08-12"
"circulo","2021-09-08"
"cirlot la mirada de bronwyn","2024-05-09"
"citizen science revolution","2018-05-31"
"ciudad de los muertos","2019-11-05"
"ciudad oculta la margenes","2019-05-31"
"clan","2015-11-13"
"clase valiente el poder de las palabras","2017-05-31"
"club del pino solitario","2021-06-10"
"cocina de los hombres","2022-12-17"
"coda 77","2021-10-21"
"cola colita colassa","2016-01-29"
"colibri","2015-12-25"
"colision","2016-12-02"
"colis suspect","2019-03-14"
"colmena","2022-09-08"
"colores del porvenir los sheridan s","2021-11-19"
"comercial","2025-05-26"
"comicos","2022-07-04"
"como conquistamos el oeste y adonde nos llevo","2025-06-27"
"compas del silencio","2025-07-31"
"comunidad la 25 aniversario avalon","2025-08-21"
"conducta animal","2018-05-28"
"con el viento","2018-11-23"
"confesiones chin chin","2024-11-18"
"confinados","2021-11-19"
"con nombre propio","2019-02-09"
"consecuencias","2021-09-17"
"consecuencias las se realiza siguiendo el criterio de semanas cinematograficas","2021-09-17"
"constelacion portabella","2025-10-24"
"constructores de la alhambra los se realiza siguiendo el criterio de semanas cinematograficas","2022-11-25"
"construyendo la luz","2021-12-10"
"contigo contigo y sin mi potenza","2023-11-09"
"contra etiqueta","2024-04-15"
"conversaciones sobre el odio moon","2023-10-20"
"converso","2017-09-29"
"converso margenes","2017-09-29"
"copel una historia de rebeldia y dignidad","2018-01-09"
"corazon ardiente european","2020-02-21"
"corazon de africa","2016-04-22"
"corazon de europa el phoenix","2022-05-27"
"corazon de padre european","2022-03-18"
"corriente la ibiza blue","2023-06-16"
"corrupcion el organismo nocivo","2018-04-20"
"corsarios","2015-05-15"
"cortar las 1001 novias","2017-11-24"
"cosas que hacer antes de morir","2021-06-03"
"cover el entertainment","2021-07-23"
"crack","2024-11-18"
"creatura avalon","2023-09-08"
"crimen de cuenca","2021-10-25"
"cristianos","2023-10-25"
"critico","2022-10-07"
"crossroads el viaje circular de boa mistura","2023-10-18"
"crossroads paco roca","2017-11-01"
"cuaderno de barro el avalon","2018-04-16"
"cuadro","2019-11-08"
"cuando toco un animal","2023-07-28"
"cuando un rio se convierte en mar","2025-11-01"
"cuarto reino el el reino de los plasticos","2019-11-22"
"cuca retrato de una mujer","2019-11-28"
"cuerpo abierto","2022-12-09"
"culpa","2022-05-06"
"cumbre es el camino","2021-03-24"
"cyborg generation","2024-11-22"
"dama del bosque maldito","2020-07-10"
"dancing beethoven margenes","2017-04-28"
"dani fernandez todo cambia","2025-06-19"
"debut","2017-07-14"
"de caperucita a loba","2023-04-05"
"decision de joaquina","2024-12-15"
"de dali a miquel","2021-04-09"
"de eso no hablamos","2023-06-13"
"de la luz y las sombras","2025-05-06"
"demonios de barro","2022-11-18"
"depedro todo va a salir bien","2021-12-16"
"de percebes en el hurtado","2022-06-16"
"deprisa deprisa","2021-02-25"
"dernier round","2021-12-09"
"derrota","2023-10-19"
"desconocida","2023-06-09"
"desenterrando sad hill","2018-10-19"
"desheredados","2017-12-15"
"destierro","2016-11-04"
"destierros","2018-10-19"
"deuses de pedra","2025-11-26"
"dgu no crezcas o moriras","2016-03-11"
"dia cualquiera","2024-04-12"
"diana","2018-09-21"
"dia perfecte per volar","2015-10-23"
"diario de un lobero","2025-05-30"
"dias afogados os","2016-09-16"
"dias de la noche","2023-06-07"
"dias que vendran","2019-06-28"
"dias que vendran los avalon","2019-06-28"
"diecisiete","2019-10-04"
"diego vasallo la posteridad para mas tarde","2024-01-25"
"dies d estiu i de pluja","2025-06-13"
"dios lo ve","2025-11-13"
"dios no me perdona","2018-11-28"
"distancia mas larga la independent","2016-06-03"
"distancias","2018-09-07"
"divino tesoro se realiza siguiendo el criterio de semanas cinematograficas","2025-02-13"
"dobla la esquina el volcan","2024-02-21"
"doctrina el pecado original y la reinsercion","2018-05-11"
"doctrina el pecado original y la reinsercion se realiza siguiendo el criterio de semanas cinematograficas","2018-05-11"
"dog barking at the moon a","2019-12-16"
"dolores guapa se realiza siguiendo el criterio de semanas cinematograficas","2022-03-27"
"domingo domingo","2023-07-23"
"domino","2020-02-21"
"dona francisquita","2019-11-12"
"donana donde el agua es sagrada","2025-05-30"
"donde estabas cuando estabas","2025-12-19"
"donde la vida puede ser","2023-11-08"
"donde vamos a vivir mujeres contra el desahucio","2024-11-12"
"donkeyote","2017-09-17"
"dorothea y el myotragus","2020-10-24"
"dorothe na vila se realiza siguiendo el criterio de semanas cinematograficas","2022-01-28"
"dos","2021-07-23"
"down n hi do","2018-12-15"
"dragonkeeper guardiana de dragones","2024-04-19"
"drogas","2020-09-25"
"dues nits d ahir les","2020-11-27"
"dulcinea","2024-06-19"
"duo","2022-09-09"
"du vin dans les voiles","2023-07-23"
"ecos","2021-11-21"
"edades sensibles a la luz","2020-09-26"
"efecto all 1","2023-02-02"
"efecto all1 el parte ii","2024-10-17"
"ego","2021-12-01"
"elegido","2016-09-02"
"elkarrekin together together","2017-11-17"
"eloy de la iglesia adicto al cine urresti","2025-12-25"
"embarazados","2016-01-29"
"emilia","2022-11-11"
"empatia","2017-04-07"
"en acabar","2019-01-17"
"en clave de sol","2025-05-07"
"enemigos","2025-05-09"
"energia 3d","2013-09-26"
"enero","2020-09-28"
"en granada es posible","2015-11-13"
"en la linea del horizonte","2024-04-09"
"en las estrellas","2018-08-31"
"en otro lugar abre","2022-05-27"
"enterrar y callar","2022-07-14"
"entre perro y lobo","2021-06-18"
"entrevista","2018-05-30"
"entusiasmo una historia de la transicion","2019-11-20"
"erase una vez","2022-12-16"
"erase una vez en euskadi entertainment","2021-10-29"
"erasmus en gaza","2022-05-12"
"escapada","2019-05-31"
"escape room la pelicula","2022-03-11"
"escribir no es normal","2024-12-18"
"es el enemigo la pelicula de gila","2024-12-13"
"ese mundo que no te da nada","2025-03-12"
"espana en dos trincheras la guerra civil en color","2016-10-28"
"espanola la de torres","2020-10-16"
"espazos en branco os","2024-11-06"
"espejo","2022-10-22"
"espejo espejo","2022-05-20"
