fecha_anual_esp	titulo_anual_esp	expediente_icaa	confidence	reason	title_score	titulo_icaa	fecha_estreno_icaa	url
2021-04-16	amanece en calcuta european	29621	alta	titulo y fecha exactos	1.0	AMANECE EN CALCUTA	16/04/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=29621
2023-03-23	amanece que no es poco		no encontrado	sin candidato aceptable				
2021-09-17	amanecer		no encontrado	sin candidato aceptable				
2017-06-01	amante del silencio		no encontrado	sin candidato aceptable				
2021-02-26	amantes		no encontrado	sin candidato aceptable				
2016-06-10	amigas de agata		no encontrado	sin candidato aceptable				
2016-06-10	amigas de agata las avalon		no encontrado	sin candidato aceptable				
2020-11-09	amigo	149020	media	titulo fuerte; fecha cercana (18 dias)	1.0	AMIGO	22/10/2020	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=149020
2025-11-08	aminetu		no encontrado	sin candidato aceptable				
2021-12-03	amor en su lugar		no encontrado	sin candidato aceptable				
2024-06-07	amor en toda la cara		no encontrado	sin candidato aceptable				
2018-11-09	amor y la muerte el historia de enrique granados margenes		no encontrado	sin candidato aceptable				
2024-12-13	anaga naturaleza infinita		no encontrado	sin candidato aceptable				
2024-12-13	anaga naturaleza infinita se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2023-02-28	ana y los lobos		no encontrado	sin candidato aceptable				
2021-03-06	andromedas		no encontrado	sin candidato aceptable				
2018-10-31	angel	131417	media	titulo fuerte; fecha cercana (1 dias)	1.0	EL ÁNGEL	30/10/2018	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=131417
2017-09-29	angelica		no encontrado	sin candidato aceptable				
2024-04-26	angel llamado rebeca european		no encontrado	sin candidato aceptable				
2023-11-24	anibal el arquitecto de sevilla		no encontrado	sin candidato aceptable				
2017-06-16	animal de compania		no encontrado	sin candidato aceptable				
2018-10-19	animales sin collar entertainment	110217	alta	titulo y fecha exactos	1.0	ANIMALES SIN COLLAR	19/10/2018	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=110217
2024-04-05	animal humano margenes		no encontrado	sin candidato aceptable				
2012-10-26	animals		no encontrado	sin candidato aceptable				
2019-11-22	ano mas		no encontrado	sin candidato aceptable				
2022-10-21	ano una noche		no encontrado	sin candidato aceptable				
2025-03-21	ano y un dia		no encontrado	sin candidato aceptable				
2021-09-30	antologia de l atzar		no encontrado	sin candidato aceptable				
2025-11-25	antonio el bailarin de espana		no encontrado	sin candidato aceptable				
2019-02-20	antonio gonzalez hombre de ciencia y conciencia		no encontrado	sin candidato aceptable				
2020-12-04	antonio machado los dias azules se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-04-04	a nuestros amigos margenes		no encontrado	sin candidato aceptable				
2022-11-25	anwar		no encontrado	sin candidato aceptable				
2018-12-05	apuntes para una pelicula de atracos avalon		no encontrado	sin candidato aceptable				
2025-11-15	aquel ultimo tiburon		no encontrado	sin candidato aceptable				
2024-04-12	arantzazu		no encontrado	sin candidato aceptable				
2017-06-09	arca de noe	95814	media	titulo fuerte; fecha cercana (14 dias)	1.0	ARCA DE NOÉ	26/05/2017	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=95814
2019-05-10	archipielago indomito		no encontrado	sin candidato aceptable				
2018-11-14	arenas de silencio		no encontrado	sin candidato aceptable				
2018-05-11	arizmendiarrieta el hombre cooperativo urresti		no encontrado	sin candidato aceptable				
2024-01-25	armas no borraran tu sonrisa		no encontrado	sin candidato aceptable				
2023-11-09	arnasa betean a pulmon		no encontrado	sin candidato aceptable				
2024-09-25	aroak		no encontrado	sin candidato aceptable				
2022-04-20	arrebato		no encontrado	sin candidato aceptable				
2024-03-12	art d alcada		no encontrado	sin candidato aceptable				
2024-09-05	artefacto 71		no encontrado	sin candidato aceptable				
2024-05-04	artifacts assembly		no encontrado	sin candidato aceptable				
2019-05-17	asamblea		no encontrado	sin candidato aceptable				
2023-05-05	asedio	159320	media	titulo fuerte; fecha cercana (11 dias)	1.0	ASEDIO	24/04/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=159320
2022-11-03	asi crecen los enanos		no encontrado	sin candidato aceptable				
2024-09-20	aspirante	98819	media	titulo fuerte; fecha cercana (1 dias)	1.0	EL ASPIRANTE	19/09/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=98819
2016-10-12	astral		no encontrado	sin candidato aceptable				
2021-02-27	astrid		no encontrado	sin candidato aceptable				
2018-05-18	ataud de cristal		no encontrado	sin candidato aceptable				
2025-03-07	atin aya retrato del silencio maravillas		no encontrado	sin candidato aceptable				
2025-11-21	aullar cineand		no encontrado	sin candidato aceptable				
2022-04-27	aun		no encontrado	sin candidato aceptable				
2025-03-07	aurora		no encontrado	sin candidato aceptable				
2019-09-13	auteretrato urresti		no encontrado	sin candidato aceptable				
2024-05-03	auto das animas o		no encontrado	sin candidato aceptable				
2022-11-13	ay carmela		no encontrado	sin candidato aceptable				
2019-06-28	azahar		no encontrado	sin candidato aceptable				
2015-09-18	b		no encontrado	sin candidato aceptable				
2017-11-19	bajo la rosa		no encontrado	sin candidato aceptable				
2023-09-15	balada perdida		no encontrado	sin candidato aceptable				
2025-11-21	bala la se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-05-12	balandrau infierno helado		no encontrado	sin candidato aceptable				
2025-12-12	balearic		no encontrado	sin candidato aceptable				
2019-06-21	banda		no encontrado	sin candidato aceptable				
2024-06-14	bandera	39823	media	titulo fuerte; fecha cercana (3 dias)	1.0	LA BANDERA	11/06/2024	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=39823
2025-03-07	bano propio		no encontrado	sin candidato aceptable				
2025-11-28	barcelona mon amour		no encontrado	sin candidato aceptable				
2015-12-04	barcelona noche de invierno		no encontrado	sin candidato aceptable				
2013-09-06	barcelona noche de verano		no encontrado	sin candidato aceptable				
2022-05-31	barcelona surf destination		no encontrado	sin candidato aceptable				
2023-05-11	barrio		no encontrado	sin candidato aceptable				
2020-02-28	barro de la revolucion		no encontrado	sin candidato aceptable				
2021-06-05	basotik itsasora		no encontrado	sin candidato aceptable				
2024-05-09	bastarda		no encontrado	sin candidato aceptable				
2015-09-18	b avalon		no encontrado	sin candidato aceptable				
2019-09-20	be happy els		no encontrado	sin candidato aceptable				
2025-11-28	bella		no encontrado	sin candidato aceptable				
2024-07-21	benin infancia robada		no encontrado	sin candidato aceptable				
2017-11-10	bernabeu		no encontrado	sin candidato aceptable				
2018-10-26	bernarda	176417	alta	titulo y fecha exactos	1.0	BERNARDA	26/10/2018	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=176417
2017-04-14	berserker		no encontrado	sin candidato aceptable				
2022-04-22	beso de dios el european	186516	media	titulo fuerte; fecha cercana (1 dias)	1.0	EL BESO DE DIOS	23/04/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=186516
2018-03-16	best day of my life the		no encontrado	sin candidato aceptable				
2022-07-14	bicicletas son para el verano		no encontrado	sin candidato aceptable				
2023-02-10	bidean jarraituz siguiendo en el camino		no encontrado	sin candidato aceptable				
2023-03-03	bienvenido mr banksy		no encontrado	sin candidato aceptable				
2020-09-26	big big big		no encontrado	sin candidato aceptable				
2019-04-18	bikes		no encontrado	sin candidato aceptable				
2024-05-07	binu historia de dos estrellas se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2023-10-12	bisbal		no encontrado	sin candidato aceptable				
2020-09-25	black beach entertainment	107118	alta	titulo y fecha exactos	1.0	BLACK BEACH	25/09/2020	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=107118
2018-08-03	blackwood entertainment		no encontrado	sin candidato aceptable				
2017-05-23	blue rai		no encontrado	sin candidato aceptable				
2021-07-02	blues para teheran		no encontrado	sin candidato aceptable				
2024-09-21	bofi		no encontrado	sin candidato aceptable				
2019-03-29	boi		no encontrado	sin candidato aceptable				
2024-11-08	book the moon		no encontrado	sin candidato aceptable				
2022-10-19	bosque del lobo		no encontrado	sin candidato aceptable				
2016-07-29	boye		no encontrado	sin candidato aceptable				
2017-07-07	brava		no encontrado	sin candidato aceptable				
2016-07-15	bruja mas que bruja	188650	revisar	titulo fuerte; fecha distinta o ausente	1.0	BRUJA MAS QUE BRUJA	10/01/1977	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=188650
2019-07-09	buceadores de la luna		no encontrado	sin candidato aceptable				
2019-10-11	buelos nunca es tarde para emprender entertainment		no encontrado	sin candidato aceptable				
2025-05-15	burnout		no encontrado	sin candidato aceptable				
2021-06-05	bury us a punk rock uprising		no encontrado	sin candidato aceptable				
2022-07-29	buscando la pelicula phoenix		no encontrado	sin candidato aceptable				
2017-06-14	caballo de viento		no encontrado	sin candidato aceptable				
2023-11-23	caballos alberto		no encontrado	sin candidato aceptable				
2019-05-13	cabanyal any zero		no encontrado	sin candidato aceptable				
2019-02-22	cada quince dias		no encontrado	sin candidato aceptable				
2023-02-28	caja vacia		no encontrado	sin candidato aceptable				
2023-06-29	calavera resumida		no encontrado	sin candidato aceptable				
2023-11-24	caleta palace		no encontrado	sin candidato aceptable				
2021-10-08	callejeras		no encontrado	sin candidato aceptable				
2022-10-06	calle mayor		no encontrado	sin candidato aceptable				
2023-11-02	cambio de sentido		no encontrado	sin candidato aceptable				
2022-03-25	camera cafe		no encontrado	sin candidato aceptable				
2008-10-17	camino	120307	media	titulo fuerte; fecha cercana (21 dias)	1.0		26/09/2008	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=120307
2025-10-30	camino de cova eiros o		no encontrado	sin candidato aceptable				
2015-05-29	camino mas largo para volver a casa		no encontrado	sin candidato aceptable				
2019-09-06	camino sin limites saen rdeoa laiz daj seingeubieando el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-05-17	campanadas a medianoche		no encontrado	sin candidato aceptable				
2023-08-18	campeonex se realiza siguiendo el criterio de semanas cinematograficas	164322	alta	titulo y fecha exactos	1.0	CAMPEONEX	18/08/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=164322
2021-10-16	canciones de horror		no encontrado	sin candidato aceptable				
2017-03-31	cantabrico		no encontrado	sin candidato aceptable				
2008-12-19	cant dels ocells		no encontrado	sin candidato aceptable				
2008-12-19	cant dels ocells el se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2022-02-04	canto cosmico nino de elche margenes		no encontrado	sin candidato aceptable				
2023-06-22	cantuna		no encontrado	sin candidato aceptable				
2024-04-26	caparros las botas del entrenador maravillas		no encontrado	sin candidato aceptable				
2025-07-04	capitolio contra capitolio		no encontrado	sin candidato aceptable				
2017-03-16	capturar las 1001 novias		no encontrado	sin candidato aceptable				
2023-12-29	carbon	28823	alta	titulo y fecha exactos	1.0	CARBÓN	29/12/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=28823
2024-07-25	carga		no encontrado	sin candidato aceptable				
2025-04-25	carga el diablo lo		no encontrado	sin candidato aceptable				
2022-03-24	carmen muerte por un sueno		no encontrado	sin candidato aceptable				
2022-11-08	carpetas azules		no encontrado	sin candidato aceptable				
2018-12-07	carrasca		no encontrado	sin candidato aceptable				
2021-10-26	cartas de akyab		no encontrado	sin candidato aceptable				
2022-05-13	cartas perdidas las la carcel y el exilio de las mujeres repub		no encontrado	sin candidato aceptable				
2024-04-18	casa bloc rehabilitacion de una idea		no encontrado	sin candidato aceptable				
2024-06-28	casa en llamas		no encontrado	sin candidato aceptable				
2018-05-18	casals la fuerza de un silencio		no encontrado	sin candidato aceptable				
2017-07-01	cash n flow el evento		no encontrado	sin candidato aceptable				
2018-06-29	casi 40 avalon		no encontrado	sin candidato aceptable				
2023-02-02	casilda el eco de otros pasos		no encontrado	sin candidato aceptable				
2025-01-18	castillo de argueso		no encontrado	sin candidato aceptable				
2025-02-27	cataluna ambigua sheridan s		no encontrado	sin candidato aceptable				
2023-03-10	caza la boccacio		no encontrado	sin candidato aceptable				
2025-10-20	cebo		no encontrado	sin candidato aceptable				
2025-05-11	cecilia bartolome tan lejos tan cerca		no encontrado	sin candidato aceptable				
2024-10-17	celedonio y yo somos asi		no encontrado	sin candidato aceptable				
2023-11-23	cenerentola la teatro real		no encontrado	sin candidato aceptable				
2020-11-06	cercle en l aigua		no encontrado	sin candidato aceptable				
2023-03-24	cero 5 a		no encontrado	sin candidato aceptable				
2023-09-29	cerrar los ojos avalon	124422	alta	titulo y fecha exactos	1.0	CERRAR LOS OJOS	29/09/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=124422
2019-05-31	chain the		no encontrado	sin candidato aceptable				
2017-06-16	chavela		no encontrado	sin candidato aceptable				
2025-11-14	chemsex un viaje al interior		no encontrado	sin candidato aceptable				
2025-01-30	chhaupadi		no encontrado	sin candidato aceptable				
2017-12-12	chica de la cancion		no encontrado	sin candidato aceptable				
2024-10-11	chichi y yo		no encontrado	sin candidato aceptable				
2020-01-24	cholitas arena		no encontrado	sin candidato aceptable				
2025-05-09	cielo de los animales el maravillas		no encontrado	sin candidato aceptable				
2023-02-24	cielo no puede esperar el european		no encontrado	sin candidato aceptable				
2022-03-25	cielo tan turbio		no encontrado	sin candidato aceptable				
2024-06-25	cienaga		no encontrado	sin candidato aceptable				
2018-04-10	cifra negra		no encontrado	sin candidato aceptable				
2022-03-25	cima	144519	media	titulo fuerte; fecha cercana (2 dias)	1.0	LA CIMA	23/03/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=144519
2017-06-02	cinebasura la pelicula		no encontrado	sin candidato aceptable				
2022-08-12	cine registro vivo de nuestra memoria		no encontrado	sin candidato aceptable				
2022-08-12	cine registro vivo de nuestra memoria se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-09-08	circulo		no encontrado	sin candidato aceptable				
2024-05-09	cirlot la mirada de bronwyn		no encontrado	sin candidato aceptable				
2018-05-31	citizen science revolution		no encontrado	sin candidato aceptable				
2019-11-05	ciudad de los muertos		no encontrado	sin candidato aceptable				
2019-05-31	ciudad oculta la margenes		no encontrado	sin candidato aceptable				
2015-11-13	clan	143914	alta	titulo y fecha exactos	1.0		13/11/2015	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=143914
2017-05-31	clase valiente el poder de las palabras		no encontrado	sin candidato aceptable				
2021-06-10	club del pino solitario		no encontrado	sin candidato aceptable				
2022-12-17	cocina de los hombres		no encontrado	sin candidato aceptable				
2021-10-21	coda 77		no encontrado	sin candidato aceptable				
2016-01-29	cola colita colassa		no encontrado	sin candidato aceptable				
2015-12-25	colibri		no encontrado	sin candidato aceptable				
2016-12-02	colision	114715	media	titulo fuerte; fecha cercana (3 dias)	1.0	COLISIÓN	05/12/2016	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=114715
2019-03-14	colis suspect		no encontrado	sin candidato aceptable				
2022-09-08	colmena		no encontrado	sin candidato aceptable				
2021-11-19	colores del porvenir los sheridan s		no encontrado	sin candidato aceptable				
2025-05-26	comercial		no encontrado	sin candidato aceptable				
2022-07-04	comicos		no encontrado	sin candidato aceptable				
2025-06-27	como conquistamos el oeste y adonde nos llevo		no encontrado	sin candidato aceptable				
2025-07-31	compas del silencio		no encontrado	sin candidato aceptable				
2025-08-21	comunidad la 25 aniversario avalon		no encontrado	sin candidato aceptable				
2018-05-28	conducta animal		no encontrado	sin candidato aceptable				
2018-11-23	con el viento		no encontrado	sin candidato aceptable				
2024-11-18	confesiones chin chin		no encontrado	sin candidato aceptable				
2021-11-19	confinados		no encontrado	sin candidato aceptable				
2019-02-09	con nombre propio		no encontrado	sin candidato aceptable				
2021-09-17	consecuencias		no encontrado	sin candidato aceptable				
2021-09-17	consecuencias las se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2025-10-24	constelacion portabella		no encontrado	sin candidato aceptable				
2022-11-25	constructores de la alhambra los se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-12-10	construyendo la luz		no encontrado	sin candidato aceptable				
2023-11-09	contigo contigo y sin mi potenza		no encontrado	sin candidato aceptable				
2024-04-15	contra etiqueta		no encontrado	sin candidato aceptable				
2023-10-20	conversaciones sobre el odio moon		no encontrado	sin candidato aceptable				
2017-09-29	converso		no encontrado	sin candidato aceptable				
2017-09-29	converso margenes		no encontrado	sin candidato aceptable				
2018-01-09	copel una historia de rebeldia y dignidad		no encontrado	sin candidato aceptable				
2020-02-21	corazon ardiente european		no encontrado	sin candidato aceptable				
2016-04-22	corazon de africa		no encontrado	sin candidato aceptable				
2022-05-27	corazon de europa el phoenix		no encontrado	sin candidato aceptable				
2022-03-18	corazon de padre european		no encontrado	sin candidato aceptable				
2023-06-16	corriente la ibiza blue		no encontrado	sin candidato aceptable				
2018-04-20	corrupcion el organismo nocivo		no encontrado	sin candidato aceptable				
2015-05-15	corsarios	47011	media	titulo fuerte; fecha cercana (2 dias)	1.0	CORSARIOS	13/05/2015	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=47011
2017-11-24	cortar las 1001 novias		no encontrado	sin candidato aceptable				
2021-06-03	cosas que hacer antes de morir		no encontrado	sin candidato aceptable				
2021-07-23	cover el entertainment		no encontrado	sin candidato aceptable				
2024-11-18	crack		no encontrado	sin candidato aceptable				
2023-09-08	creatura avalon	106521	alta	titulo y fecha exactos	1.0	CREATURA	08/09/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=106521
2021-10-25	crimen de cuenca		no encontrado	sin candidato aceptable				
2023-10-25	cristianos		no encontrado	sin candidato aceptable				
2022-10-07	critico		no encontrado	sin candidato aceptable				
2023-10-18	crossroads el viaje circular de boa mistura		no encontrado	sin candidato aceptable				
2017-11-01	crossroads paco roca		no encontrado	sin candidato aceptable				
2018-04-16	cuaderno de barro el avalon		no encontrado	sin candidato aceptable				
2019-11-08	cuadro		no encontrado	sin candidato aceptable				
2023-07-28	cuando toco un animal		no encontrado	sin candidato aceptable				
2025-11-01	cuando un rio se convierte en mar		no encontrado	sin candidato aceptable				
2019-11-22	cuarto reino el el reino de los plasticos		no encontrado	sin candidato aceptable				
2019-11-28	cuca retrato de una mujer		no encontrado	sin candidato aceptable				
2022-12-09	cuerpo abierto		no encontrado	sin candidato aceptable				
2022-05-06	culpa	224521	alta	titulo y fecha exactos	1.0	CULPA	06/05/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=224521
2021-03-24	cumbre es el camino		no encontrado	sin candidato aceptable				
2024-11-22	cyborg generation		no encontrado	sin candidato aceptable				
2020-07-10	dama del bosque maldito		no encontrado	sin candidato aceptable				
2017-04-28	dancing beethoven margenes		no encontrado	sin candidato aceptable				
2025-06-19	dani fernandez todo cambia		no encontrado	sin candidato aceptable				
2017-07-14	debut		no encontrado	sin candidato aceptable				
2023-04-05	de caperucita a loba		no encontrado	sin candidato aceptable				
2024-12-15	decision de joaquina		no encontrado	sin candidato aceptable				
2021-04-09	de dali a miquel		no encontrado	sin candidato aceptable				
2023-06-13	de eso no hablamos		no encontrado	sin candidato aceptable				
2025-05-06	de la luz y las sombras		no encontrado	sin candidato aceptable				
2022-11-18	demonios de barro		no encontrado	sin candidato aceptable				
2021-12-16	depedro todo va a salir bien		no encontrado	sin candidato aceptable				
2022-06-16	de percebes en el hurtado		no encontrado	sin candidato aceptable				
2021-02-25	deprisa deprisa		no encontrado	sin candidato aceptable				
2021-12-09	dernier round		no encontrado	sin candidato aceptable				
2023-10-19	derrota	210423	revisar	titulo fuerte; fecha distinta o ausente	1.0	DE LA DERROTA	10/06/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=210423
2023-06-09	desconocida	82919	media	titulo fuerte; fecha cercana (42 dias)	1.0	LA DESCONOCIDA	28/04/2023	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=82919
2018-10-19	desenterrando sad hill		no encontrado	sin candidato aceptable				
2017-12-15	desheredados		no encontrado	sin candidato aceptable				
2016-11-04	destierro		no encontrado	sin candidato aceptable				
2018-10-19	destierros		no encontrado	sin candidato aceptable				
2025-11-26	deuses de pedra		no encontrado	sin candidato aceptable				
2016-03-11	dgu no crezcas o moriras		no encontrado	sin candidato aceptable				
2024-04-12	dia cualquiera		no encontrado	sin candidato aceptable				
2018-09-21	diana		no encontrado	sin candidato aceptable				
2015-10-23	dia perfecte per volar		no encontrado	sin candidato aceptable				
2025-05-30	diario de un lobero		no encontrado	sin candidato aceptable				
2016-09-16	dias afogados os		no encontrado	sin candidato aceptable				
2023-06-07	dias de la noche		no encontrado	sin candidato aceptable				
2019-06-28	dias que vendran		no encontrado	sin candidato aceptable				
2019-06-28	dias que vendran los avalon		no encontrado	sin candidato aceptable				
2019-10-04	diecisiete		no encontrado	sin candidato aceptable				
2024-01-25	diego vasallo la posteridad para mas tarde		no encontrado	sin candidato aceptable				
2025-06-13	dies d estiu i de pluja		no encontrado	sin candidato aceptable				
2025-11-13	dios lo ve	238825	alta	titulo y fecha exactos	1.0	DIOS LO VE	13/11/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=238825
2018-11-28	dios no me perdona		no encontrado	sin candidato aceptable				
2016-06-03	distancia mas larga la independent		no encontrado	sin candidato aceptable				
2018-09-07	distancias		no encontrado	sin candidato aceptable				
2025-02-13	divino tesoro se realiza siguiendo el criterio de semanas cinematograficas	144323	alta	titulo y fecha exactos	1.0	DIVINO TESORO	13/02/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=144323
2024-02-21	dobla la esquina el volcan		no encontrado	sin candidato aceptable				
2018-05-11	doctrina el pecado original y la reinsercion		no encontrado	sin candidato aceptable				
2018-05-11	doctrina el pecado original y la reinsercion se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2019-12-16	dog barking at the moon a		no encontrado	sin candidato aceptable				
2022-03-27	dolores guapa se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2023-07-23	domingo domingo		no encontrado	sin candidato aceptable				
2020-02-21	domino		no encontrado	sin candidato aceptable				
2019-11-12	dona francisquita		no encontrado	sin candidato aceptable				
2025-05-30	donana donde el agua es sagrada		no encontrado	sin candidato aceptable				
2025-12-19	donde estabas cuando estabas		no encontrado	sin candidato aceptable				
2023-11-08	donde la vida puede ser		no encontrado	sin candidato aceptable				
2024-11-12	donde vamos a vivir mujeres contra el desahucio		no encontrado	sin candidato aceptable				
2017-09-17	donkeyote		no encontrado	sin candidato aceptable				
2020-10-24	dorothea y el myotragus		no encontrado	sin candidato aceptable				
2022-01-28	dorothe na vila se realiza siguiendo el criterio de semanas cinematograficas		no encontrado	sin candidato aceptable				
2021-07-23	dos		no encontrado	sin candidato aceptable				
2018-12-15	down n hi do		no encontrado	sin candidato aceptable				
2024-04-19	dragonkeeper guardiana de dragones		no encontrado	sin candidato aceptable				
2020-09-25	drogas	183217	media	titulo fuerte; fecha cercana (1 dias)	1.0	EL DROGAS	24/09/2020	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=183217
2020-11-27	dues nits d ahir les		no encontrado	sin candidato aceptable				
2024-06-19	dulcinea		no encontrado	sin candidato aceptable				
2022-09-09	duo		no encontrado	sin candidato aceptable				
2023-07-23	du vin dans les voiles		no encontrado	sin candidato aceptable				
2021-11-21	ecos		no encontrado	sin candidato aceptable				
2020-09-26	edades sensibles a la luz		no encontrado	sin candidato aceptable				
2023-02-02	efecto all 1		no encontrado	sin candidato aceptable				
2024-10-17	efecto all1 el parte ii		no encontrado	sin candidato aceptable				
2021-12-01	ego		no encontrado	sin candidato aceptable				
2016-09-02	elegido		no encontrado	sin candidato aceptable				
2017-11-17	elkarrekin together together		no encontrado	sin candidato aceptable				
2025-12-25	eloy de la iglesia adicto al cine urresti		no encontrado	sin candidato aceptable				
2016-01-29	embarazados		no encontrado	sin candidato aceptable				
2022-11-11	emilia	63321	alta	titulo y fecha exactos	1.0	EMILIA	11/11/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=63321
2017-04-07	empatia		no encontrado	sin candidato aceptable				
2019-01-17	en acabar		no encontrado	sin candidato aceptable				
2025-05-07	en clave de sol		no encontrado	sin candidato aceptable				
2025-05-09	enemigos	233724	media	titulo fuerte; fecha cercana (3 dias)	1.0	ENEMIGOS	06/05/2025	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=233724
2013-09-26	energia 3d		no encontrado	sin candidato aceptable				
2020-09-28	enero		no encontrado	sin candidato aceptable				
2015-11-13	en granada es posible		no encontrado	sin candidato aceptable				
2024-04-09	en la linea del horizonte		no encontrado	sin candidato aceptable				
2018-08-31	en las estrellas	66715	alta	titulo y fecha exactos	1.0	EN LAS ESTRELLAS	31/08/2018	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=66715
2022-05-27	en otro lugar abre		no encontrado	sin candidato aceptable				
2022-07-14	enterrar y callar		no encontrado	sin candidato aceptable				
2021-06-18	entre perro y lobo	52415	media	titulo fuerte; fecha cercana (1 dias)	1.0	ENTRE PERRO Y LOBO	17/06/2021	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=52415
2018-05-30	entrevista		no encontrado	sin candidato aceptable				
2019-11-20	entusiasmo una historia de la transicion		no encontrado	sin candidato aceptable				
2022-12-16	erase una vez		no encontrado	sin candidato aceptable				
2021-10-29	erase una vez en euskadi entertainment		no encontrado	sin candidato aceptable				
2022-05-12	erasmus en gaza		no encontrado	sin candidato aceptable				
2019-05-31	escapada	52519	alta	titulo y fecha exactos	1.0	Escapada	31/05/2019	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=52519
2022-03-11	escape room la pelicula		no encontrado	sin candidato aceptable				
2024-12-18	escribir no es normal		no encontrado	sin candidato aceptable				
2024-12-13	es el enemigo la pelicula de gila		no encontrado	sin candidato aceptable				
2025-03-12	ese mundo que no te da nada		no encontrado	sin candidato aceptable				
2016-10-28	espana en dos trincheras la guerra civil en color		no encontrado	sin candidato aceptable				
2020-10-16	espanola la de torres		no encontrado	sin candidato aceptable				
2024-11-06	espazos en branco os		no encontrado	sin candidato aceptable				
2022-10-22	espejo	86520	media-baja	titulo fuerte; mismo anio	1.0	ESPEJO ESPEJO	20/05/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=86520
2022-05-20	espejo espejo	86520	alta	titulo y fecha exactos	1.0	ESPEJO ESPEJO	20/05/2022	https://sede.mcu.gob.es/CatalogoICAA/es-es/Peliculas/Detalle?Pelicula=86520
2023-12-15	espera la maravillas		no encontrado	sin candidato aceptable				
2023-09-01	espiritu de la colmena el avalon		no encontrado	sin candidato aceptable				
2023-10-26	esta ambicion desmedida avalon		no encontrado	sin candidato aceptable				
2018-06-15	estacion violenta a margenes		no encontrado	sin candidato aceptable				
